Bd1	敵艦隊を撃破せよ！	艦隊を出撃させ、敵艦隊を捕捉、これを撃滅せよ！※どこでも1回勝利で達成
Bd2	敵艦隊主力を撃滅せよ！	艦隊を出撃させ、敵艦隊「主力」を捕捉！これを撃滅せよ！※戦闘(敗北でも可)を1回することで任務達成
Bd3	敵艦隊を10回邀撃せよ！	艦隊全力出撃！遊弋する敵艦隊を10回邀撃せよ！※戦闘10回で達成。全て敗北でもよい
Bd5	敵補給艦を3隻撃沈せよ！	艦隊を出撃させ、敵補給艦を捕捉、これを撃滅せよ！※輸送船と補給艦は同じ扱い(※輸送船の出現海域)
Bd7	南西諸島海域の制海権を握れ！	艦隊を南西諸島海域に全力出撃させ、多数の敵艦隊「主力」群を捕捉、撃滅せよ！※編成自由の艦隊とし・(2-1) 南西諸島近海・(2-2) バシー海峡・(2-3) 東部オリョール海・(2-4) 沖ノ島海域・(2-5) 沖ノ島沖より任意のボス戦の組み合わせで5回B勝利以上で達成※任務進捗変化50%(3/5)→80%(4/5)→達成(5/5)(※鎮守府海域の「南西諸島沖(1-2)」「南西諸島防衛線(1-4)」は含まれない)
Bd8	敵潜水艦を制圧せよ！	対潜能力の充実した艦隊で出撃、敵潜水艦狩りを実施せよ！※潜水艦6隻撃沈で達成
Bd4	敵空母を3隻撃沈せよ！	艦隊の脅威となる敵空母群。これを捕捉撃滅し、3隻轟沈せよ！※敵の(空母/軽空母)を3隻撃沈で達成
Bd6	敵輸送船団を叩け！	敵の輸送船5隻以上を撃沈し、敵の補給路を寸断せよ！※輸送船と補給艦は同じ扱い(※輸送船の出現海域)
Bw1	あ号作戦	1週間の全力出撃を行い、可能な限り多くの敵艦隊を捕捉、これを迎撃せよ！※以下の全条件を満たすことで達成*8・出撃36回・S勝利 6回・ボス到達 24回・ボス戦勝利 12回※進行度の算出方法が特殊
Bw2	い号作戦	有力な母艦航空隊で1週間の全力出撃を行い、可能な限り多くの敵空母を撃滅せよ！※敵の(空母/軽空母)を20隻撃沈で達成
Bw3	海上通商破壊作戦	1週間で敵輸送船を20隻以上撃沈せよ！※輸送船20隻撃沈で達成(※輸送船の出現海域)
Bw4	ろ号作戦	1週間の全力出撃を行い、敵輸送船団を捕捉・撃滅、敵の補給路を寸断せよ！※輸送船50隻撃沈で達成(※輸送船の出現海域)
Bw5	海上護衛戦	有力な対潜能力を持つ海上護衛隊によって、可能な限り多くの敵潜水艦を撃滅せよ！※潜水艦15隻撃沈で達成
Bw6	敵東方艦隊を撃滅せよ！	西方海域に出撃し、敵東方艦隊の主力を捕捉、これを撃滅せよ！※編成自由の艦隊とし・(4-1) ジャム島沖・(4-2) カレー洋海域・(4-3) リランカ島・(4-4) カスガダマ島・(4-5) カレー洋リランカ島沖より任意のボス戦の組み合わせで12回B勝利以上で達成※任務進捗変化50%(6/12)→80%(10/12)→達成(12/12)
Bw7	敵北方艦隊主力を撃滅せよ！	北方海域の深部に出撃し、敵北方艦隊の主力艦隊を捕捉、これを撃滅せよ！※編成自由の艦隊とし・(3-3) アルフォンシーノ方面・(3-4) 北方海域全域・(3-5) 北方AL海域より任意のボス戦の組み合わせで5回B勝利以上で達成
Bw8	敵東方中枢艦隊を撃破せよ！	西方海域カスガダマ島沖に出撃し、敵東方中枢艦隊を捕捉、これを撃破せよ！※編成自由の艦隊とし・(4-4) カスガダマ島ボス戦を1回B勝利以上で達成
Bw9	南方海域珊瑚諸島沖の制空権を握れ！	南方海域珊瑚諸島沖に出撃し、敵機動部隊本体を撃滅、これに完全勝利せよ！※編成自由の艦隊とし・(5-2) 珊瑚諸島沖ボス戦を2回S勝利で達成
Bw10	海上輸送路の安全確保に努めよ！	鎮守府正面の対潜哨戒を反復実施し、安全な海上輸送路を確保せよ！※編成自由の艦隊とし・(1-5) 鎮守府近海ボス戦を3回A勝利以上で達成
Bm1	「第五戦隊」出撃せよ！	「第五戦隊」は沖ノ島沖の戦闘哨戒を実施、敵艦隊主力を捕捉、これを撃滅せよ！※「第五戦隊」(「妙高」+「那智」+「羽黒」)3隻+自由枠3隻とし・(2-5) 沖ノ島沖ボス戦を1回S勝利で達成
Bm2	「潜水艦隊」出撃せよ！	潜水艦戦力を中核とした艦隊で中部海域哨戒線へ反復出撃、敵戦力を漸滅せよ！※編成自由の艦隊とし・(6-1) 中部海域哨戒線ボス戦を3回S勝利で達成
Bm3	「水雷戦隊」南西へ！	軽巡旗艦の水雷戦隊(軽巡最大3隻他駆逐艦)を急派、南西諸島防衛線で敵を撃滅せよ！※旗艦軽巡+軽巡0～2隻＋駆逐3～5隻からなる(軽巡/駆逐)のみの編成とし・(1-4) 南西諸島防衛線ボス戦を1回S勝利で達成
Bm4	「水上打撃部隊」南方へ！	戦艦3隻軽巡1隻他を基幹とした水上打撃部隊で南方海域へ進出、敵艦隊を撃滅せよ！※(「大和型」「長門型」「伊勢型」「扶桑型」)より3隻+軽巡1隻+自由枠2隻とし・(5-1) 南方海域前面ボス戦を1回S勝利で達成※金剛型、海外戦艦は自由枠扱いになり任務の対象外
Bm5	海上護衛強化月間	鎮守府正面海域の対潜哨戒を強化し、敵潜水艦を制圧、安全な海上輸送体制を確立せよ！※編成自由の艦隊とし・(1-5) 鎮守府近海ボス戦を10回A勝利以上で達成
Bm6	「空母機動部隊」西へ！	航空母艦2隻(随伴駆逐艦2隻)を基幹とする空母機動部隊で、カレー洋の敵艦隊を撃滅せよ！※航空母艦2隻+駆逐2隻+自由枠2隻とし・(4-2) カレー洋海域ボス戦を1回S勝利で達成
Bm7	「水上反撃部隊」突入せよ！	駆逐艦を旗艦とした重巡1隻(航巡不可)軽巡1隻駆逐艦4隻からなる水上挺身部隊、沖ノ島沖に突入せよ！※旗艦「駆逐艦」+重巡1隻+軽巡1隻+駆逐3隻とし・(2-5) 沖ノ島沖ボス戦を1回S勝利で達成
Bm8	兵站線確保！海上警備を強化実施せよ！	海上警備任務：軽空母または軽巡級1隻、駆逐艦または海防艦を計3隻以上配備した海上護衛艦隊で、南西諸島沖警備、海上護衛作戦、南1号作戦、南西諸島哨戒を実施、各作戦海域の敵を撃滅せよ！※(軽空母/軽巡級)1隻+(駆逐/海防)3隻+自由枠2隻とし・(1-2) 南西諸島沖・(1-3) 製油所地帯沿岸・(1-4) 南西諸島防衛線・(2-1) 南西諸島近海ボス戦を各1回S勝利で達成
Bq1	沖ノ島海域迎撃戦	有力な艦隊を沖ノ島海域前面に反復投入、侵攻する敵機動部隊を迎撃、これを撃滅せよ！※編成自由の艦隊とし・(2-4) 沖ノ島海域ボス戦を2回S勝利で達成
Bq2	戦果拡張任務！「Z作戦」前段作戦	戦果拡張作戦:我が第一艦隊に精鋭艦艇を集中配備、同精鋭艦隊を以て、南西諸島の沖ノ島海域、中部海域哨戒線、グアノ環礁沖の敵艦隊を撃破、中部北海域ピーコック島の敵戦力を破砕殲滅せよ！※編成自由の第一艦隊とし・(2-4) 沖ノ島海域・(6-1) 中部海域哨戒線・(6-3) グアノ環礁沖海域ボス戦を各1回A勝利以上・(6-4) 中部北海域ピーコック島沖ボス戦を1回S勝利で達成
Bq3	強行輸送艦隊、抜錨！	航路護衛任務：航空戦艦(または補給艦でも可)2隻を中核とした艦隊で、鎮守府近海航路における輸送船団護衛作戦を実施。同輸送作戦を2回成功させよ！※(航戦/補給艦)2隻+自由枠4隻とし・(1-6) 鎮守府近海航路2回クリア(ゴール地点へ到達)で達成
Bq4	前線の航空偵察を実施せよ！	偵察任務：水上機母艦1隻と軽巡2隻を中核とした偵察艦隊を、中部海域グアノ環礁沖海域に展開、航空偵察作戦「K作戦」を反復実施せよ！さらに同方面の敵艦隊を捕捉、敵戦力の撃破に務めよ！※水母1隻+軽巡2隻+自由枠3隻とし・(6-3) グアノ環礁沖海域ボス戦を2回A勝利以上で達成
Bq5	北方海域警備を実施せよ！	北方海域警備任務：北方海域の警備を実施する。軽巡を1隻以上含む艦隊で、北方海域モーレイ海、キス島沖、アルフォンシーノ方面の艦隊を展開、北方海域方面の警備と制海権確保に努めよ！※軽巡1隻+自由枠5隻とし・(3-1) モーレイ海・(3-2) キス島沖・(3-3) アルフォンシーノ方面ボス戦を各1回A勝利以上で達成
Bq6	精鋭「三一駆」、鉄底海域に突入せよ！	強行東京急行任務：精鋭「三一駆」第一小隊を護衛戦力とした突入艦隊を編成、南方サーモン海域に投入、鉄底海峡に突入し同海域に展開する敵艦艇を実力で排除、強行鼠輸送作戦を反復完遂せよ!※「長波改二」+(「高波改」「沖波改」「朝霜改」)より1隻+自由枠4隻とし・(5-4) サーモン海域ボス戦を2回S勝利で達成
Bq7	新編成「三川艦隊」、鉄底海峡に突入せよ！	鉄底海峡戦果拡張：「鳥海」「青葉」「衣笠」「加古」「古鷹」「天龍」「夕張」の中から4隻を含む突入艦隊を編成。南方海域前面及びサブ島沖海域、サーモン海域に突入、敵艦隊を撃滅せよ！※(「鳥海」「青葉」「衣笠」「加古」「古鷹」「天龍」「夕張」)より4隻+自由枠2隻とし・(5-1) 南方海域前面・(5-3) サブ島沖海域・(5-4) サーモン海域ボス戦を各1回S勝利で達成
Bq8	泊地周辺海域の安全確保を徹底せよ！	泊地近海警戒戦果拡張：有力な泊地哨戒部隊を編成、鎮守府近海、ブルネイ泊地沖、タウイタウイ泊地沖に反復出撃！各周辺海域に出没する敵潜を制圧、さらに泊地周辺の脅威となる敵戦力を捕捉撃滅せよ！※編成自由の艦隊とし・(1-5) 鎮守府近海・(7-1) ブルネイ泊地沖・(7-2-1) タウイタウイ泊地沖(Gマス)・(7-2-2) タウイタウイ泊地沖(Mマス)ボス戦を各3回S勝利で達成※任務進捗変化(同一箇所3回達成を1単位として)50%(2/4)→80%(3/4)→達成(4/4)
Bq9	空母戦力の投入による兵站線戦闘哨戒	空母を含む有力な哨戒艦隊を編成、製油所地帯沿岸、南西諸島防衛線、南西諸島近海、バシー海峡及び東部オリョール海を戦闘哨戒、各海域の敵艦隊を捕捉撃滅、各海域兵站線の安全を確保せよ！※航空母艦1隻+自由枠5隻とし・(1-3) 製油所地帯沿岸・(1-4) 南西諸島防衛線・(2-1) 南西諸島近海・(2-2) バシー海峡・(2-3) 東部オリョール海ボス戦を各1回S勝利で達成※任務進捗変化50%(3/5)→80%(4/5)→達成(5/5)
Bq10	戦果拡張任務！「Z作戦」後段作戦	戦果拡張作戦：我が第一艦隊に精鋭艦艇を集中配備、同精鋭艦隊を以て、南西海域タウイタウイ泊地沖、南方海域サーモン海域北方、中部海域MS諸島沖及びKW環礁沖海域の敵艦隊を捕捉、これを撃滅せよ！※編成自由の第一艦隊とし・(7-2-2) タウイタウイ泊地沖(Mマス)・(5-5) サーモン海域北方・(6-2) MS諸島沖・(6-5) KW環礁沖海域ボス戦を各1回S勝利で達成
Bq11	南西諸島方面「海上警備行動」発令！	海上警備任務：軽空母または軽巡級1隻、駆逐艦または海防艦を計3隻以上配備した海上護衛艦隊で、南1号作戦、南西諸島哨戒、柳作戦、オリョール哨戒を実施、各作戦海域に出没する敵を撃滅せよ！※(軽空母/軽巡級)1隻+(駆逐/海防艦)3隻+自由枠2隻とし・(1-4) 南西諸島防衛線・(2-1) 南西諸島近海・(2-2) バシー海峡・(2-3) 東部オリョール海ボス戦を各1回S勝利で達成
Bq12	発令！「西方海域作戦」	大規模出撃任務：「西方海域作戦」が発令された！有力な艦隊を編成し、西方海域全海域に出撃、同海域に展開する敵戦力を完全撃破、これを殲滅せよ！艦隊、西へ！※編成自由の艦隊とし・(4-1) ジャム島沖・(4-2) カレー洋海域・(4-3) リランカ島・(4-4) カスガダマ島・(4-5) カレー洋リランカ島沖ボス戦を各1回S勝利で達成※任務進捗変化50%(3/5)→80%(4/5)→達成(5/5)
Bq13	拡張「六水戦」、最前線へ！	軽巡「夕張改二」型の旗艦に随伴第六水雷戦隊駆逐艦2隻以上または「由良改二」を含む艦隊で、南方海域前面、南方サーモン海域、中部北海域ピーコック島沖、中部KW環礁沖海域に展開、敵戦力を撃滅せよ！※旗艦「夕張改二/改二特/改二丁」+随伴艦(「睦月」「如月」「弥生」「卯月」「菊月」「望月」)より2隻+自由枠3隻または+随伴艦「由良改二」+自由枠4隻とし・(5-1) 南方海域前面・(5-4) サーモン海域・(6-4) 中部北海域ピーコック島沖・(6-5) KW環礁沖海域ボス戦を各1回S勝利で達成
By13	精強「第七駆逐隊」緊急出動！	第七駆逐隊出撃任務：全艦一次改装以上の第七駆逐隊4隻を含む艦隊で、南西諸島沖海域、製油所地帯沿岸、鎮守府近海、北方海域キス島沖を哨戒、敵戦力を捕捉、これを撃破せよ！※「朧改」＋「漣改」＋「曙改」＋「潮改」(曙、潮はそれぞれ改二でも可)+自由枠2隻とし、・(1-2) 南西諸島沖・(1-3) 製油所地帯沿岸・(1-5) 鎮守府近海・(3-2) キス島沖のボス戦を各1回A勝利以上で達成。※任務進捗変化？→？→？
By1	精鋭「十九駆」、躍り出る！	改装特II型駆逐艦「綾波改二」及び同「敷波改二」を含む精鋭艦隊を前線に投入、南西諸島海域沖ノ島沖、北方海域全域、西方海域カレー洋リランカ島沖、南方サブ島沖海域に展開、各敵主力を捕捉撃滅せよ！※「綾波改二」+「敷波改二」+自由枠4隻とし・(2-5) 沖ノ島沖・(3-4) 北方海域全域・(4-5) カレー洋リランカ島沖・(5-3) サブ島沖海域ボス戦を各1回S勝利で達成
By2	「海防艦」、海を護る！	海防艦3隻を含む5隻以下の海上護衛隊を、鎮守府海域に展開。鎮守府正面海域、南西諸島沖海域、製油所地帯沿岸、鎮守府近海、鎮守府近海航路の各海域の安全確保と対潜掃蕩を図れ！海防艦戦隊、抜錨せよ！※海防艦3隻+自由枠2隻の5隻以下の編成とし・(1-1) 鎮守府正面海域・(1-2) 南西諸島沖・(1-3) 製油所地帯沿岸・(1-5) 鎮守府近海ボス戦を各1回A勝利以上・(1-6) 鎮守府近海航路1回クリア(ゴール地点へ到達)で達成※任務進捗変化50%(3/5)→80%(4/5)→達成(5/5)
By3	工作艦「明石」護衛任務	工作艦護衛任務：旗艦に工作艦「明石」、護衛の駆逐艦3隻以上で製油所地帯沿岸、鎮守府近海航路、南西諸島近海、バシー海峡、東部オリョール海に展開。「明石」を護衛、同海域での作戦を成功させよ！※旗艦「明石」+駆逐艦3隻+自由枠2隻とし・(1-3) 製油所地帯沿岸・(2-1) 南西諸島近海・(2-2) バシー海峡・(2-3) 東部オリョール海ボス戦を各1回A勝利以上・(1-6) 鎮守府近海航路1回クリア(ゴール地点へ到達)で達成※任務進捗変化50%(3/5)→80%(4/5)→達成(5/5)
By4	重巡戦隊、西へ！	重巡(航空巡洋艦含まず)3隻以上、駆逐艦1隻以上を中核とした艦隊を編成。同艦隊を西方に展開。西方海域ジャム島沖、カレー洋海域、リランカ島、カスガダマ島の敵戦力と交戦、これを撃破せよ！※重巡(航巡不可)3隻+駆逐艦1隻+自由枠2隻とし・(4-1) ジャム島沖・(4-2) カレー洋海域・(4-3) リランカ島・(4-4) カスガダマ島ボス戦を各1回A勝利以上で達成
By11	日英米合同水上艦隊、抜錨せよ！	米英艦艇3隻以上を含む空母を伴わない艦隊で、北方海域モーレイ海及びアルフォンシーノ方面、西方海域リランカ島、南西海域ペナン島沖深部を哨戒、敵戦力を捕捉、これを撃破せよ！※航空母艦タブ内の艦の編成不可。(米艦娘/英艦娘)3隻+自由枠3隻とし・(3-1) モーレイ海・(3-3) アルフォンシーノ方面・(4-3) リランカ島・(7-3-2/P) ペナン島沖深部のボス戦を各1回A勝利？で達成
By12	精鋭「第十九駆逐隊」、全力出撃！	精鋭第十九駆逐隊「磯波改二」「浦波改二」「綾波改二」「敷波改二」を含む艦隊で、鎮守府近海、南西諸島東部オリョール海、北方キス島沖、南方サブ島沖海域に出撃！敵艦隊を捕捉撃滅せよ！※「磯波改二」+「浦波改二」+「綾波改二」+「敷波改二」+自由枠2隻とし・(1-5) 鎮守府近海・(2-3) 東部オリョール海・(3-2) キス島沖・(5-3) サブ島沖海域のボス戦を各1回S勝利？で達成
By6	鎮守府近海海域の哨戒を実施せよ！	旗艦に「重巡洋艦」または「駆逐艦」、随伴に「駆逐艦・海防艦」より旗艦含めず3隻以上(他自由)の艦隊で、南西諸島沖、製油所地帯沿岸、南西諸島防衛線へ反復出撃！敵艦隊の撃破に努めよ！※旗艦(重巡/駆逐艦)+(駆逐艦/海防艦)3隻+自由枠2隻とし・(1-2) 南西諸島沖・(1-3) 製油所地帯沿岸・(1-4) 南西諸島防衛線のボス戦を各2回A勝利以上で達成※任務進捗変化(同一海域2回達成を1単位として)50%(1/3)→80%(2/3)→達成(3/3)
By7	南西方面の兵站航路の安全を図れ！	旗艦に「軽巡・練巡・駆逐艦」、随伴に「駆逐艦・海防艦」より旗艦含めず3隻以上(他自由)の艦隊で、反復出撃！鎮守府近海、南西諸島近海、鎮守府近海航路の安全確保と対潜掃蕩を図れ！※旗艦(軽巡/練巡/駆逐艦)+(駆逐艦/海防艦)3隻+自由枠2隻とし・(1-5) 鎮守府近海・(2-1) 南西諸島近海のボス戦を各2回A勝利以上・(1-6) 鎮守府近海航路を2回クリア(ゴール地点へ到達)で達成※任務進捗変化(同一海域2回達成を1単位として)50%(1/3)→80%(2/3)→達成(3/3)
By8	空母機動部隊、出撃！敵艦隊を迎撃せよ！	旗艦に「航空母艦」、随伴に「重巡洋艦・航空巡洋艦」から2隻以上(他自由)の機動部隊を編成。バシー海峡、東部オリョール海、沖ノ島海域へ展開！敵艦隊主力を捕捉、これを撃滅せよ！※旗艦 航空母艦+重巡級2隻+自由枠3隻とし・(2-2) バシー海峡・(2-3) 東部オリョール海・(2-4) 沖ノ島海域のボス戦を各1回S勝利で達成
By9	AL作戦	軽空母2隻を基幹とした艦隊を編成、北方海域モーレイ海、アルフォンシーノ方面、北方海域全域、北方AL海域へ展開！AL方面へと至るこれらの北方海域で敵主力を積極攻撃、これを撃滅せよ！※軽空母2隻+自由枠4隻とし・(3-1) モーレイ海・(3-3) アルフォンシーノ方面・(3-4) 北方海域全域・(3-5) 北方AL海域のボス戦をを各1回S勝利？で達成
By10	機動部隊決戦	旗艦に「航空母艦」を編成した第一艦隊で、珊瑚諸島沖、サーモン海域北方、KW環礁沖海域へ反復出撃、敵主力を撃滅！さらに中部北海域ピーコック島沖へも反復展開、敵戦力を撃破せよ！※第一艦隊 旗艦 航空母艦+自由枠5隻とし・(5-2) 珊瑚諸島沖・(5-5) サーモン海域北方・(6-5) KW環礁沖海域のボス戦を各2回S勝利・(6-4) 中部北海域ピーコック島沖のボス戦を2回A勝利以上で達成※任務進捗変化(同一海域2回達成を1単位として)50%(2/4)→80%(3/4)→達成(4/4)
By5	歴戦「第十方面艦隊」、全力出撃！	重巡「羽黒」「足柄」「妙高」「高雄」、駆逐艦「神風」のうち2隻以上を含む精強な艦隊を編成！マラッカ海峡ペナン島沖深部、タウイタウイ泊地沖深部、西方カレー洋海域に反復出撃！敵を撃滅せよ！※(「羽黒」「足柄」「妙高」「高雄」「神風」)より2隻+自由枠4隻とし・(7-3-2/P) ペナン島沖・(7-2-2/M) タウイタウイ泊地沖・(4-2) カレー洋海域のボス戦を各2回S勝利以上で達成？※任務進捗変化(同一箇所2回達成を1単位として)50%(1/3)→80%(2/3)→達成(3/3)
B197	「第二駆逐隊」抜錨！	第二駆逐隊任務：「村雨」「夕立」「春雨」「五月雨」のうち3隻以上を含む艦隊で、南西諸島沖海域、製油所地帯沿岸、鎮守府近海、南西諸島防衛線を哨戒、敵戦力を捕捉、これを撃破せよ！\n\n※(村雨、夕立、春雨、五月雨より3隻)+自由枠3隻の艦隊で\n・(1-2) 南西諸島沖\n・(1-3) 製油所地帯沿岸\n・(1-4) 南西諸島防衛線\n・(1-5) 鎮守府近海\nをそれぞれ1回A勝利で達成。\n\n※任務進捗変化\n50%(2/4)→80%(3/4)→達成(4/4)
B198	改装白露型「春雨改二」出撃です！	旗艦に改装白露型駆逐艦「春雨改二」を配備、他に軽巡1隻駆逐艦1隻以上を伴う艦隊で、バシー海峡、東部オリョール海、南方海域前面に反復展開！立ちふさがる敵艦隊を蹴散らせッ！\n\n※春雨改二(旗艦)+軽巡1隻+駆逐1隻+自由枠3隻の艦隊で\n・(2-2) バシー海峡\n・(2-3) 東部オリョール海\n・(5-1) 南方海域前面\nをそれぞれ2回S勝利で達成。\n\n※任務進捗変化\n(同一箇所2回達成を1単位として)\n50%(1/3)→80%(2/3)→達成(3/3)
B199	夕立姉さん！今度は一緒について行きますっ！	ソロモン海特別任務：改装白露型駆逐艦「夕立改二」及び「春雨改二」を含む強力な艦隊で、カレー洋リランカ島沖、そして南方サブ島沖海域、サーモン海域、サーモン海北方に出撃！敵を撃滅せよ！\n\n※夕立改二+春雨改二+自由枠4隻の艦隊で\n・(4-5) カレー洋リランカ島沖\n・(5-3) サブ島沖海域\n・(5-4) サーモン海域\n・(5-5) サーモン海域北方\nをそれぞれ1回S勝利で達成。\n\n※任務進捗変化
B1	はじめての「出撃」！	艦隊を出撃させ、敵艦隊と交戦せよ！\n\n※出撃のみで達成？【要検証】
B2	鎮守府正面海域を護れ！	鎮守府正面海域に艦隊を出撃させ、敵艦の跋梁を阻止せよ！\n\n※「敵主力艦隊」(1-1ボス戦)にB勝利以上で達成
B3	第2艦隊、出撃せよ！	新たに編成した「第2艦隊」を出撃せよ！\n\n※出撃のみで達成
B4	南西諸島沖に出撃せよ！	南西諸島沖に艦隊を出撃させ、敵艦隊と交戦せよ！\n\n※出撃のみで達成？【要検証】
B5	接近する「敵前衛艦隊」を迎撃せよ！	南西諸島沖に接近する「敵前衛艦隊」を捕捉、これを撃滅せよ！\n\n※「敵主力部隊」(1-2ボス戦)にB勝利以上で達成
B6	「水雷戦隊」で出撃せよ！	軽巡洋艦1隻を旗艦とし、複数の駆逐艦からなる水雷戦隊で出撃せよ！
B7	「重巡洋艦」を出撃させよ！	重巡洋艦を旗艦とした艦隊を編成、これを出撃させよ！
B8	「戦艦」を出撃させよ！	海上の覇者、戦艦を旗艦とした艦隊を編成、これを出撃させよ！\n\n※航空戦艦は不可
B9	「空母機動部隊」出撃せよ！	空母1隻とその護衛艦艇で編成した空母機動部隊を出撃させよ！\n\n※空母は軽空母でも可、水上機母艦では不可\n\n※航空母艦1隻、随伴艦3隻の合計4隻が必要
B10	敵空母を撃沈せよ！	敵機動部隊を捕捉し、これを邀撃、敵空母を轟沈せよ！\n\n※敵(空母/軽空母)を撃沈で達成 *18\n\n※(Bd4)敵空母を3隻撃沈せよ！終了後に(B10)敵空母を撃沈せよ！を開放すると、進行度の干渉と進行度表示がどうなるのか、詳細な報告を求む
B11	「三川艦隊」出撃せよ！	新編成した「三川艦隊」で出撃せよ！\n\n※「三川艦隊」の5隻(「古鷹」+「加古」+「青葉」+「鳥海」+「天龍」)＋高速艦1隻の合計6隻で出撃すると達成。途中帰還してもOK\n※出撃する海域はどこでもOK
B12	「第六駆逐隊」出撃せよ！	「暁」「響」「雷」「電」による第六駆逐隊、出撃せよ！\n\n※その他の艦を含まない、上記の4隻で出撃すると達成\n\n※出撃する海域はどこでもOK\n※達成後も再出現するバグあり？(任務攻略データを参照)
B13	「第四戦隊」出撃せよ！	「愛宕」「高雄」「鳥海」「摩耶」を基幹とする第四戦隊で、バシー島沖の敵を撃滅せよ！\n\n※「敵通商破壊艦隊」(2-2ボス戦)にB勝利以上で達成\n\n※上記の4隻+自由枠
B14	「西村艦隊」出撃せよ！	「扶桑」「山城」「最上」「時雨」を基幹とする西村艦隊で、オリョール海の敵を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にB勝利以上で達成 【要確認】\n\n※上記の4隻+自由枠
B15	「第五航空戦隊」出撃せよ！	「翔鶴」「瑞鶴」を基幹とする第五航空戦隊で、北方海域モーレイ海の敵を撃滅せよ！\n\n※「敵北方侵攻艦隊」(3-1ボス戦)にB勝利以上で達成\n\n※上記の2隻+自由枠\n※なお、A23の条件の駆逐艦2隻は加えなくてもOK
B16	新「三川艦隊」出撃せよ！	完全編成した「三川艦隊」をもって、オリョール海の敵を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にB勝利以上で達成\n\n※「新三川艦隊」(「鳥海」+「青葉」+「衣笠」+「加古」+「古鷹」+「天龍」の6隻)なので注意
B17	「潜水艦隊」出撃せよ！	伊号潜水艦2隻からなる潜水艦隊でオリョール海の敵を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にB勝利以上で達成\n\n※潜水艦2隻+自由枠\n※伊号潜水艦と書かれているが\n「まるゆ」/「U-511」/「呂500」でも可\n\n※同名の別任務(Bm2)「潜水艦隊」出撃せよ！があるので注意
B18	「航空水上打撃艦隊」出撃せよ！	航空戦艦2隻、航空巡洋艦2隻を基幹とする艦隊でカレー洋の制海権を握れ！\n\n※「東方主力艦隊」(4-2ボス戦)にB勝利以上で達成\n\n※上記の4隻+自由枠
B19	「第六戦隊」出撃せよ！	編成した「第六戦隊」をもって出撃し、オリョール海の敵を撃滅「完全勝利」せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にS勝利で達成\n\n※「第六戦隊」の4隻(「古鷹」+「加古」+「青葉」+「衣笠」)+自由枠
B20	「第八駆逐隊」出撃せよ！	編成した「第八駆逐隊」を含む艦隊で出撃し、オリョール海の敵を撃滅せよ！\n\n※「敵主力打撃群」(2-3ボス戦)にB勝利以上で達成\n\n※「第八駆逐隊」の4隻(「朝潮」+「満潮」+「大潮」+「荒潮」)+自由枠
B21	「第十八駆逐隊」出撃せよ！	編成した「第十八駆逐隊」を含む艦隊で出撃し、北方海域モーレイ海の敵を撃滅せよ！\n\n※「敵北方侵攻艦隊」(3-1ボス戦)にB勝利以上で達成 【要確認】\n\n※「第十八駆逐隊」の4隻(「霰」+「霞」+「陽炎」+「不知火」)+自由枠
B22	「第三十駆逐隊(第一次)」出撃せよ！	「第三十駆逐隊(第一次)」を含む艦隊で出撃し、キス島沖の主力艦隊と交戦せよ！\n\n※「敵キス島包囲艦隊」(3-2ボス戦)に勝利またはC敗北で達成(D敗北では不可)\n\n※「第三十駆逐隊(一次)」の4隻(「睦月」+「如月」+「弥生」+「望月」)+自由枠2隻\n\n※ルート固定のために自由枠2隻は駆逐2隻/軽巡1隻・駆逐1隻/軽巡1隻・補給1隻のいずれかのみとなるので注意
B23	「航空戦艦」抜錨せよ！	航空戦艦2隻を基幹とする艦隊で、西方海域カスガダマ島の敵勢力を撃破せよ！\n\n※「敵東方中枢艦隊」(4-4ボス戦)にB勝利以上で達成\n\n※航空戦艦2隻+自由枠
